>> ExpansionTester
circle,params: a=1.800000e+00, b=1.800000e+00 (AR=1), c=0, p=20, -2<x,y<2 
k=1  	 N=129 	 Min |n|=3.1890e-04	 Max |n|=6.5687e-02	 err=3.815208e-09 	 rate=4.68 	 err_theta=-0.31362     0.31362	 err_r=1.8233      1.8233	 err_dist=0.059421    0.059421	 err loc (53  77   ;  102  102)
k=1  	 N=257 	 Min |n|=1.2198e-04	 Max |n|=3.2682e-02	 err=1.326624e-10 	 rate=4.85 	 err_theta=-1.8561      1.8561     -1.2855      1.2855	 err_r=1.8319      1.8319      1.8319      1.8319	 err_dist=-0.031961   -0.031961   -0.031961   -0.031961	 err loc (54  204   54  204   ;  107  107  151  151)
k=1  	 N=513 	 Min |n|=4.0426e-06	 Max |n|=1.6538e-02	 err=2.651643e-11 	 rate=2.32 	 err_theta=-1.1776      1.1776	 err_r=1.7127      1.7127	 err_dist=1.0557e-05  1.0557e-05	 err loc (122  392   ;  313  313)
k=1  	 N=1025	 Min |n|=4.0426e-06	 Max |n|=8.2612e-03	 err=3.565046e-11 	 rate=-0.43 	 err_theta=-1.8512      1.8512	 err_r=1.8842      1.8842	 err_dist=1.2343e-05  1.2343e-05	 err loc (204  822   ;  424  424)

k=2  	 N=65  	 Min |n|=8.0420e-04	 Max |n|=1.3175e-01	 err=3.138756e-06 	 rate=NaN  	 err_theta=-1.212       1.212	 err_r=1.602       1.602	 err_dist=-0.12319    -0.12319	 err loc (17  49   ;  39  39)
k=2  	 N=129 	 Min |n|=3.1890e-04	 Max |n|=6.5687e-02	 err=1.220761e-07 	 rate=4.68 	 err_theta=-0.31362     0.31362	 err_r=1.8233      1.8233	 err_dist=0.059421    0.059421	 err loc (53  77   ;  102  102)
k=2  	 N=257 	 Min |n|=1.2198e-04	 Max |n|=3.2682e-02	 err=4.245343e-09 	 rate=4.85 	 err_theta=-1.8561      1.8561	 err_r=1.8319      1.8319	 err_dist=-0.031961   -0.031961	 err loc (54  204   ;  107  107)
k=2  	 N=513 	 Min |n|=4.0426e-06	 Max |n|=1.6538e-02	 err=1.298423e-10 	 rate=5.03 	 err_theta=-1.8604      1.8604     -1.2812      1.2812	 err_r=1.8464      1.8464      1.8464      1.8464	 err_dist=-0.015922   -0.015922   -0.015922   -0.015922	 err loc (106  408  106  408   ;  212  212  302  302)
k=2  	 N=1025	 Min |n|=4.0426e-06	 Max |n|=8.2612e-03	 err=7.130089e-11 	 rate=0.86 	 err_theta=-1.8512      1.8512	 err_r=1.8842      1.8842	 err_dist=1.2343e-05  1.2343e-05	 err loc (204  822   ;  424  424)

k=3  	 N=65  	 Min |n|=8.0420e-04	 Max |n|=1.3175e-01	 err=2.382231e-05 	 rate=NaN  	 err_theta=-1.212       1.212	 err_r=1.602       1.602	 err_dist=-0.12319    -0.12319	 err loc (17  49   ;  39  39)
k=3  	 N=129 	 Min |n|=3.1890e-04	 Max |n|=6.5687e-02	 err=9.268818e-07 	 rate=4.68 	 err_theta=-0.31362     0.31362	 err_r=1.8233      1.8233	 err_dist=0.059421    0.059421	 err loc (53  77   ;  102  102)
